rank,move,country,age,points,tournaments,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
33,0,SVK,28,1380,21,Dominika Cibulkova,363906,domicibulkova,Dominika Cibulkova,https://scontent-lga3-1.cdninstagram.com/vp/6afbcf9e7787009b9014408f4860c173/5B679D6B/t51.2885-19/11931219_1043645422314589_825054765_a.jpg,true,false,925013723,Dominika Cibulkova
34,0,ROU,28,1355,24,Sorana Cirstea,92382,soranacirstea,Sorana Cirstea,https://scontent-lga3-1.cdninstagram.com/vp/82008cc7d08f6bc0351c03a406f619b2/5B763EAA/t51.2885-19/s150x150/26181641_1550266131759680_1938415957269544960_n.jpg,true,false,291771023,Sorana Cirstea
35,0,FRA,28,1355,28,Alizé Cornet,95132,alizecornet,Alizé Cornet,https://scontent-lga3-1.cdninstagram.com/vp/0abbafbf2f4db7f708dee488f9e0de0b/5B785F81/t51.2885-19/11356503_1612000942389408_1183743167_a.jpg,true,false,248133814,Alizé Cornet
36,△1,CRO,27,1273,13,Petra Martic,4428,thepetramartic,Petra Martic,https://scontent-lga3-1.cdninstagram.com/vp/e12e5ef1e0327206945d0797000cfe8a/5B622904/t51.2885-19/s150x150/20066731_1920405481563947_2175295335063093248_a.jpg,true,false,5753627517,Petra Martic
38,△1,HUN,24,1270,27,Timea Babos,16197,timeababos,timeababos,https://scontent-lga3-1.cdninstagram.com/vp/8907bd7882cdd160c6f30bd7ebed0f0b/5B67FE8A/t51.2885-19/s150x150/25018073_1658655700860181_2266441185398620160_n.jpg,true,false,182412951,Timea Babos
39,△1,ROU,29,1263,31,Mihaela Buzarnescu,2484,miki.buzarnescu,Mihaela Buzarnescu,https://scontent-lga3-1.cdninstagram.com/vp/a47c4cfe44876ddbdb142a7a9d8ea9a1/5B63DB1A/t51.2885-19/s150x150/26224078_137426440287543_8134046886093914112_n.jpg,true,false,217785479,Mihaela Buzarnescu
40,△1,UKR,28,1260,27,Lesia Tsurenko,15630,lesiatsurenko,Lesia Tsurenko,https://scontent-lga3-1.cdninstagram.com/vp/ee2025778c42d2bd654423ef89f73e2f/5B9C994B/t51.2885-19/s150x150/16123344_192607254548258_7936762790327353344_a.jpg,true,false,240441638,Lesia Tsurenko
41,△1,RUS,31,1257,13,Maria Sharapova,3098364,mariasharapova,Maria Sharapova,https://scontent-lga3-1.cdninstagram.com/vp/09e8d9afc5739e8cdc9cf03ced455724/5B68CD1A/t51.2885-19/10665610_719981611415660_1004249737_a.jpg,true,false,1488692425,Maria Sharapova
42,▽6,CHN,32,1255,23,Shuai Peng,3726,shuaeng,Peng Shuai,https://scontent-lga3-1.cdninstagram.com/vp/4ae0c9942db0390a09151b9e69902853/5B9B72F2/t51.2885-19/s150x150/17596684_399609833741474_2951613100471615488_a.jpg,false,false,299272948,Shuai Peng
43,0,RUS,31,1175,24,Elena Vesnina,111744,vesnushka86,Elena Vesnina,https://scontent-lga3-1.cdninstagram.com/vp/ed6283da9da3e20a9c38dbaa49fd7f1d/5B643C57/t51.2885-19/s150x150/25009621_1612995085449472_7478453912572264448_n.jpg,true,false,25302678,Elena Vesnina
