rank,rank_last_week,events,avg_points,total_points,points_lost,points_gained,country,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
39,39,52,2.89,150.23,-37.48,54.91,KOR,Si Woo Kim,13168,siwookim95,Si Woo Kim,https://scontent-lga3-1.cdninstagram.com/vp/4eec56b4ff63d0cb254a8adf87ddfa0b/5B583F47/t51.2885-19/s150x150/23161614_382516392178629_5921414202030817280_n.jpg,true,false,1717616452,Si Woo Kim
40,40,52,2.89,150.18,-20.73,61.30,AUS,Cameron Smith,15036,cameronsmithgolf,Cameron Smith,https://scontent-lga3-1.cdninstagram.com/vp/eb9aef1268f4c603c807788dbdb1f993/5B59DB5E/t51.2885-19/s150x150/25018955_191445608073973_1179205355838636032_n.jpg,true,false,202882908,Cameron Smith
41,41,52,2.83,147.30,-31.76,55.68,USA,Webb Simpson,1305,webbsimpson,Webb Simpson,https://scontent-lga3-1.cdninstagram.com/vp/6a3424f7bb531ee2b960b8b2dbff65d6/5B69DE9F/t51.2885-19/s150x150/13725764_317715825229861_980134281_a.jpg,true,false,1834431650,Webb Simpson
42,42,52,2.78,144.59,-34.02,36.90,ENG,Ross Fisher,24,rossfisher,Ross Fisher,https://scontent-lga3-1.cdninstagram.com/vp/f80fc7faf243d73bb71347f88af1315e/5B6BE5A0/t51.2885-19/s150x150/12547199_915014048582741_182019782_a.jpg,false,false,2681333096,Ross Fisher
43,43,52,2.71,140.87,-47.50,38.34,USA,Kevin Chappell,20530,kevin_chappell,Kevin Chappell,https://scontent-lga3-1.cdninstagram.com/vp/550adf4bf25ea0d0eb9bc18557cc2609/5B99294B/t51.2885-19/s150x150/19765046_574277716295030_4602645150924013568_a.jpg,true,false,183350117,Kevin Chappell
44,44,52,2.63,137.00,-24.84,54.60,CHN,HaoTong Li,12478,haotong66,HaoTong Li   李昊桐,https://scontent-lga3-1.cdninstagram.com/vp/0d3bcff1899aa908ea921b96e0687055/5B6B832D/t51.2885-19/s150x150/29738578_352104135280298_393403400697413632_n.jpg,true,false,1503345643,HaoTong Li
45,45,52,2.63,136.97,-29.05,55.36,CAN,Adam Hadwin,166,adamhadwin,Adam Hadwin,https://scontent-lga3-1.cdninstagram.com/vp/f04fe4c4c21538a8fdb3435144db28f0/5B55CBD9/t51.2885-19/s150x150/17125426_1810561589194785_1136186057163800576_a.jpg,false,true,42333514,Adam Hadwin
46,46,48,2.58,124.04,-31.69,38.83,USA,Brendan Steele,3948,brendansteelegolf,Brendan Steele,https://scontent-lga3-1.cdninstagram.com/vp/f2f23a50585d4ca81e9369f85dd3be80/5B98B221/t51.2885-19/s150x150/30592722_179174352734136_5081326673471733760_n.jpg,true,false,2227389454,Brendan Steele
47,47,52,2.53,131.62,-26.34,35.10,USA,Kyle Stanley,7200,kylemstanley,Kyle Stanley,https://scontent-lga3-1.cdninstagram.com/vp/4f228b24a68249762783b9d65c2fe0c5/5B614657/t51.2885-19/s150x150/15535034_376641809349795_8930058738706939904_a.jpg,true,false,15628756,Kyle Stanley
48,48,52,2.48,129.16,-20.28,72.96,USA,Bryson DeChambeau,125942,brysondechambeau,Bryson DeChambeau,https://scontent-lga3-1.cdninstagram.com/vp/86ddeed9474edd587dd0d38b36467df8/5B5EDB80/t51.2885-19/s150x150/20066144_124551184745933_3942539399429881856_a.jpg,true,false,468307143,Bryson DeChambeau
50,50,51,2.41,122.70,-29.63,31.05,USA,Russell Henley,216,ssellhenley66be,Russell Henley,https://scontent-lga3-1.cdninstagram.com/vp/d131cbc2b2747f9d032a971afa3286cd/5B60509E/t51.2885-19/10914353_416513778512681_1555170962_a.jpg,false,false,1653554196,Russell Henley
51,51,52,2.37,123.41,-24.93,31.04,RSA,Dylan Frittelli,4966,frittellivision,Dylan Frittelli,https://scontent-lga3-1.cdninstagram.com/vp/9b7f40a1195e2e8423439ecf25ce88e4/5B5A8814/t51.2885-19/s150x150/12534149_1029571510399342_1828053570_a.jpg,true,false,549296551,Dylan Frittelli
52,52,48,2.36,113.12,-35.96,22.47,BEL,Thomas Pieters,87898,thomaspietersgolf,Thomas Pieters,https://scontent-lga3-1.cdninstagram.com/vp/46ad74db1a4be9adb7d252f35669f8de/5B9923AA/t51.2885-19/s150x150/27879235_405846616529228_2235218826151067648_n.jpg,true,false,1653735515,Thomas Pieters
53,53,52,2.33,120.91,-16.47,74.48,USA,Luke List,17,luke_list,luke,https://scontent-lga3-1.cdninstagram.com/vp/d9be5ada176d79c20a9c2163e42c24b2/5B9B24AC/t51.2885-19/11349260_1450880285222766_1987023515_a.jpg,false,false,2038112958,Luke List
54,54,49,2.28,111.96,-34.70,20.76,USA,Jason Dufner,3225,jasondufnerfoundation,Jason Dufner Foundation,https://scontent-lga3-1.cdninstagram.com/vp/145b39e5f6e3add9ead7749aa0cf8d10/5B995889/t51.2885-19/s150x150/10848368_883436541754638_248496040_a.jpg,true,false,1442685146,Jason Dufner
55,55,52,2.27,117.92,-35.68,23.70,VEN,Jhonattan Vegas,24600,jhonattanvegas,Jhonattan Vegas,https://scontent-lga3-1.cdninstagram.com/vp/e7359f04562ae513820d837475f7729c/5B98438C/t51.2885-19/s150x150/21480147_283755152112546_1077297219402465280_n.jpg,true,false,206032085,Jhonattan Vegas
57,57,52,2.22,115.57,-37.74,18.02,AUT,Bernd Wiesberger,19425,berndwiesberger,berndwiesberger,https://scontent-lga3-1.cdninstagram.com/vp/9ccdf3d1e73d4f96bc24a1746b778dcb/5B683A10/t51.2885-19/s150x150/24124902_1962272274098784_8786565964406718464_n.jpg,false,false,268688694,Bernd Wiesberger
58,58,49,2.20,107.90,-32.04,20.53,USA,Zach Johnson,22594,zachjaydtd,Zach Johnson,https://scontent-lga3-1.cdninstagram.com/vp/b36d04ec74b99605a1df129ee4072c8c/5B5470D7/t51.2885-19/s150x150/30085167_609737929360470_8329291331956375552_n.jpg,true,false,29897989,Zach Johnson
59,59,41,2.18,89.21,-51.23,15.74,AUS,Adam Scott,383117,mradamscott,Adam Scott,https://scontent-lga3-1.cdninstagram.com/vp/d9a9dd01271e2280ac168ee7f985e38c/5B625162/t51.2885-19/s150x150/29095115_233602623871556_7681917083298299904_n.jpg,true,false,239815891,Adam Scott
60,60,52,2.17,113.09,-37.01,6.48,JPN,Yuta Ikeda,92,ikeda_yuta,Yuta Ikeda,https://scontent-lga3-1.cdninstagram.com/vp/f98a77fb686b3e9dc56d8d4ebee1347a/5B7A6A81/t51.2885-19/s150x150/12237224_939584829411554_1657925394_a.jpg,false,false,2292858016,Yuta Ikeda
61,61,52,2.17,113.06,-20.45,12.40,JPN,Yusaku Miyazato,13295,yusakumiyazato_official,宮里優作,https://scontent-lga3-1.cdninstagram.com/vp/bd3bfdd411a9f3790fb9cd8c9a963768/5B57D7C1/t51.2885-19/s150x150/22344969_381298152304692_1536152863674204160_n.jpg,false,false,6106307036,Yusaku Miyazato
