name,rank,rank_last_week,events,avg_points,total_points,points_lost,points_gained,country
Byung-Jun Kim,963,963,40,.10,4.04,-1.58,,KOR
Robert Allenby,964,964,43,.10,4.33,-1.63,,AUS
Romain Bechu,965,965,40,.10,4.00,,4.00,FRA
Julien De Poyen,965,965,40,.10,4.00,,4.00,FRA
Michael Hirmer,965,965,40,.10,4.00,,4.00,GER
Jeremy Paul,965,965,40,.10,4.00,,4.00,GER
Jack Singh Brar,965,965,40,.10,4.00,,4.00,ENG
Pawin Ingkhapradit,970,970,40,.10,3.98,-.45,,THA
Anthony Renard,971,971,40,.10,3.96,-.90,,FRA
Ben Kohles,972,972,48,.10,4.73,-1.43,,USA
Jhared Hack,973,973,40,.10,3.94,-1.14,,USA
Max Laier,973,973,40,.10,3.94,-1.21,,GER
Han Min-kyu,973,973,40,.10,3.94,-1.73,,KOR
Niall Kearney,976,976,40,.10,3.93,-.77,,IRL
Manuel Trappel,977,977,40,.10,3.90,-2.16,,AUT
Chris Crabtree,978,978,40,.10,3.90,-.42,,
Jeff Gove,978,978,40,.10,3.90,-1.50,,USA
Blake Windred,978,978,40,.10,3.90,-.42,,AUS
Chris Thompson,981,981,40,.10,3.88,-.59,2.21,USA
Nicolai Tinning,982,982,40,.10,3.88,-1.39,,DEN
Akio Sadakata,983,983,40,.10,3.88,-1.18,,JPN
Armando Favela,984,984,40,.10,3.86,-1.14,,MEX
Bo Hoag,985,985,40,.10,3.85,-.37,2.38,USA
Taichi Nabetani,985,985,40,.10,3.85,-.75,,
Richard Johnson,987,987,40,.10,3.83,-1.26,,SWE
Koki Furuta,988,988,40,.10,3.82,-.47,2.00,JPN
Kieran Muir,989,989,40,.10,3.81,-.39,1.20,NZL
Federico MacCario,990,990,40,.10,3.80,-2.14,,ITA
Ken Looper,991,991,40,.09,3.78,-.99,,USA
Neil Raymond,992,992,40,.09,3.77,-.88,,ENG
Jesper Billing,993,993,40,.09,3.77,-.77,,SWE
Matthew Giles,993,993,40,.09,3.77,-1.89,,AUS
Antti Ahokas,995,995,40,.09,3.74,-.91,,FIN
Azuma Yano,996,996,40,.09,3.73,-3.39,,JPN
Kyle Jones,997,997,40,.09,3.71,,3.71,USA
Colt Knost,998,998,40,.09,3.69,-9.52,,USA
