name,rank,ch,age,country,points,win/lose,lose,tournament,prev_tourn,next_pts,max_pts
Dennis Novak,195,194,24.6,AUT4,294,-1,-,-,Lost in Tunis R32,-,-
Salvatore Caruso,196,156,25.3,ITA12,294,-1,-,Francavilla R32,-,-,-
Nicola Kuhn,197,196,18,ESP15,292,-1,-,-,-,-,-
Benjamin Bonzi,198,176,21.8,FRA18,288,5,8,-,Lost in Tunis R16Lost in Qual. Barcelona R1,-,-
Brayden Schnur,199,183,22.8,CAN7,288,-,2,Leon R32,Lost in Guadalajara SF,-,-
Egor Gerasimov,200,121,25.4,BLR2,287,4,8,-,Lost in Tunis R16Lost in Qual. Barcelona R1,-,-
Miomir Kecmanović,201,176,18.6,SRB6,287,-4,-5,Tallahassee R32,Lost in Sarasota R32,-,-
Juan Ignacio Lóndero,202,186,24.6,ARG12,286,16,31,Tallahassee R32,Lost in Sarasota SF,-,-
Nikola Milojević,203,143,22.8,SRB7,284,-5,-8,-,Lost in Tunis R32,-,-
Enrique López-Pérez,204,162,26.8,ESP16,283,-4,-,Tallahassee R32,-,-,-
Casper Ruud,205,108,19.3,NOR1,281,-4,-,Francavilla R32,Lost in Tunis R32,-,-
Marc Polmans,206,175,20.9,AUS11,280,3,8,Tallahassee R32,Lost in Sarasota R16,-,-
Ricardo Ojeda Lara,207,171,25.2,ESP17,279,-1,-,Barcelona R64,Qual. Barcelona W,-,-
Janko Tipsarević,208,8,33.8,SRB8,276,-55,-100,-,-,-,-
Constant Lestienne,209,164,25.9,FRA19,273,-2,-,-,-,-,-
Renzo Olivo,210,78,26.1,ARG13,272,-21,-35,Francavilla R32,-,-,-
Tommy Robredo,211,5,35.9,ESP18,271,-9,-10,Barcelona R64,Lost in Qual. Monte Carlo R1,-,-
Gonçalo Oliveira,212,194,23.1,POR5,268,-,-,Francavilla R32,Lost in Tunis R32,-,-
Tobias Kamke,213,64,31.9,GER15,265,-,-,-,Lost in Tunis R32,-,-
Nicolás Almagro,214,9,32.6,ESP19,263,-28,-45,-,-,-,-
Soonwoo Kwon,215,168,20.3,KOR2,263,-7,-9,Anning R32,Lost in Nanchang R32,-,-
Peđa Krstin,216,159,23.6,SRB9,263,16,29,Leon R32,Lost in Guadalajara SF,-,-
Duck-hee Lee,217,130,19.8,KOR3,262,-3,-,Anning R32,Lost in Nanchang R32,-,-
Adam Pavlásek,218,72,23.5,CZE3,260,-8,-8,-,-,-,-
Sumit Nagal,219,213,20.6,IND3,260,-4,-,Francavilla R32,-,-,-
Christian Garín,220,187,21.8,CHI2,256,-4,-,Tallahassee R32,Lost in Sarasota R32,-,-
Uladzimir Ignatik,221,129,27.7,BLR3,256,-4,-,-,Lost in Qual. Barcelona R1,-,-
Thomaz Bellucci,222,21,30.3,BRA3,252,2,8,Tallahassee R32,Lost in Sarasota R16,-,-
Mitchell Krueger,223,169,24.2,USA24,252,-4,-,Tallahassee R32,Lost in Sarasota R32,-,-
Aleksandr Nedovyesov,224,72,31.1,KAZ3,250,18,29,Anning R32,Lost in Nanchang SF,-,-
Daniel Gimeno Traver,225,48,32.7,ESP20,249,47,60,Francavilla R32,Qual. Tunis WLost in Tunis F,-,-
Pedro Martínez,226,217,20.9,ESP21,249,-5,-,Barcelona R64,Lost in Qual. Tunis R2,-,-
Jay Clarke,227,219,19.7,GBR5,247,9,16,Tallahassee R32,Qual. Sarasota WLost in Sarasota QF,-,-
John Patrick Smith,228,108,29.2,AUS12,243,10,15,Leon R32,Lost in Guadalajara QF,-,-
Mohamed Safwat,229,187,27.5,EGY1,243,-3,-,Anning R32,Lost in Nanchang R32,-,-
