name,rank,ch,age,country,points,win/lose,lose,tournament,prev_tourn,next_pts,max_pts
Florent Diep,613,NCH   (615),26.5,FRA58,44,2,-,-,Lost in Qual. Monte Carlo R1,-,-
Marco Bortolotti,614,355,27.2,ITA42,44,2,-,-,-,-,-
Thomas Fancutt,615,604,23.1,AUS31,43,2,-,-,-,-,-
Nathan Pasha,616,579,25.7,USA48,42,3,-,-,-,-,-
Tak Khunn Wang,617,265,26.5,FRA59,42,3,-,-,Lost in La Grande Motte QF,-,-
Henry Craig,618,NCH   (639),23.5,USA49,42,21,3,-,Lost in Little Rock QF,-,-
Matias Zukas,619,465,21.9,ARG31,42,2,-,Qual. Vero Beach F,Lost in Qual. Guadalajara R1,-,-
Christopher Díaz Figueroa,620,326,28.1,GUA1,42,2,-,-,Lost in Qual. Leon R2,-,-
Mick Lescure,621,496,24.8,FRA60,42,12,1,Angers R32,Lost in Sharm El Sheikh 13 R16Lost in La Grande Motte QF,-,-
Manuel Pena Lopez,622,621,20.1,ARG32,42,1,-,-,Lost in Bukhara R16,-,-
Filippo Leonardi,623,526,30.3,ITA43,42,1,-,-,-,-,-
Naoki Nakagawa,624,531,21.4,JPN19,42,2,-,-,Lost in Matsuyama R32,-,-
Alexander Kudryavtsev,625,117,32.4,RUS23,41,3,-,-,-,-,-
Rémi Boutillier,626,235,28.2,FRA61,41,3,-,Abuja 2 R32,Lost in Abuja R16,-,-
Sriram Balaji,627,287,28,IND10,41,3,-,Anning R32,Lost in Qual. Nanchang R2Qual. Anning W,-,-
Ryan James Storrie,628,NCH   (631),20.1,GBR13,41,3,-,-,Lost in Madrid R32,-,-
Shalva Dzhanashia,629,NCH   (632),25.6,RUS24,41,3,-,-,Lost in Qual. Guadalajara R1,-,-
Pietro Licciardi,630,556,23.9,ITA44,41,-12,-2,-,Lost in Santa Margherita 6 R32Lost in Qual. Francavilla R1,-,-
Omar Giacalone,631,327,26.2,ITA45,41,-32,-6,-,Lost in Antalya 15 R16,-,-
Billy Harris,632,NCH   (634),23.2,GBR14,41,2,-,Santa Margherita 8 R32,Qual. Santa Margherita 6 WLost in Santa Margherita 6 R32Lost in Santa Margherita 7 R16,-,-
Yecong He,633,492,24.1,CHN9,40,-6,-1,-,Lost in Nanchang R32,-,-
Vasile Antonescu,634,465,28,ROU5,40,-9,-2,Santa Margherita 8 R32,Lost in Santa Margherita 7 R32,-,-
Ben Patael,635,499,20.8,ISR6,40,-,-,-,-,-,-
Olexiy Kolisnyk,636,634,21.9,UKR8,40,-,-,-,Lost in Qual. Antalya 14 R3Lost in Antalya 15 R32,-,-
Hong Chung,637,507,24.9,KOR6,39,-,-,-,-,-,-
Zizou Bergs,638,636,18.8,BEL19,39,-,-,Qual. Majadahonda R3,-,-,-
Alexander Zhurbin,639,555,26.2,RUS25,39,2,-,-,Lost in Madrid R32,-,-
Fajing Sun,640,402,21.5,CHN10,39,-133,-27,-,Lost in Bukhara R32,-,-
Vit Kopriva,641,420,20.8,CZE16,39,1,-,-,Lost in Antalya 14 R32,-,-
Jonathan Eysseric,642,202,27.9,FRA62,38,1,-,-,-,-,-
Denys Mylokostov,643,458,25,UKR9,38,1,-,-,-,-,-
Strong Kirchheimer,644,NCH   (649),22.9,USA50,38,7,1,-,Lost in Little Rock R16Lost in Qual. Sarasota R2,-,-
Anis Ghorbel,645,479,28.9,TUN3,38,2,-,-,Lost in Djerba 9 R32,-,-
Dejan Katic,646,506,30.1,SRB14,38,-,-,-,Lost in Sharm El Sheikh 13 R32,-,-
Flavio Cipolla,647,70,34.5,ITA46,37,2,-,-,-,-,-
Yuta Shimizu,648,NCH   (654),18.8,JPN20,37,9,1,-,Lost in Matsuyama R16,-,-
Patrik Rikl,649,648,19.2,CZE17,37,1,-,-,Qual. Santa Margherita 7 WLost in Santa Margherita 7 R16Lost in Qual. Francavilla R2,-,-
Antonio Massara,650,465,22.5,ITA47,37,2,-,-,Lost in Antalya 15 R32,-,-
Vladimir Ivanov,651,310,31,EST2,37,2,-,-,Lost in Bukhara R16,-,-
Karunuday Singh,652,393,27.4,IND11,37,-7,-1,-,Lost in Abuja R16,-,-
Alexander Igoshin,653,494,26.2,RUS26,37,2,-,-,Lost in Qual. Guadalajara R2,-,-
Yuki Mochizuki,654,653,20.4,JPN21,36,2,-,-,-,-,-
Artem Dubrivnyy,655,NCH   (665),19.2,RUS27,36,14,2,Shymkent 4 R32,Lost in Shymkent 2 QFLost in Shymkent 3 QF,-,-
Orlando Luz,656,449,20.2,BRA16,36,9,1,-,Qual. Antalya 14 WLost in Antalya 14 R16,-,-
Lukas Ollert,657,655,25.4,GER38,36,1,-,-,-,-,-
Francesco Vilardo,658,472,28.3,ITA48,36,1,-,-,Lost in Djerba 9 QF,-,-
Jeffrey John Wolf,659,654,19.3,USA51,35,1,-,-,-,-,-
André Ghem,660,118,35.8,BRA17,35,1,-,-,-,-,-
Seong chan Hong,661,343,20.8,KOR7,35,1,-,-,-,-,-
Patrick Kypson,662,659,18.4,USA52,35,1,-,-,-,-,-
Sam Riffice,663,NCH   (728),19.1,USA53,35,65,8,-,Qual. Little Rock WLost in Little Rock SF,-,-
Daniiar Duldaev,664,607,25.4,KGZ1,35,3,-,-,-,-,-
Gustav Hansson,665,662,23,SWE6,34,3,-,-,-,-,-
Gavin Van Peperzeel,666,251,26,AUS32,34,-2,-1,-,-,-,-
Juan Manuel Benitez Chavarriaga,667,594,22.5,COL6,34,3,-,-,-,-,-
Ljubomir Čelebić,668,437,26.6,MNE1,34,-2,-1,-,-,-,-
Yanais Laurent,669,503,25.8,FRA63,34,2,-,-,-,-,-
Enzo Couacaud,670,206,23.1,FRA64,33,2,-,-,Lost in Qual. Tunis R1,-,-
Young Seok Kim,671,469,22.9,KOR8,33,2,-,-,-,-,-
Anton Zaitcev,672,296,30.7,RUS28,33,2,-,-,-,-,-
Vishnu Vardhan,673,262,30.7,IND12,33,2,-,Anning R32,Lost in Qual. Nanchang R1Qual. Anning W,-,-
Sho Katayama,674,489,28.9,JPN22,33,2,-,-,Lost in Matsuyama R32,-,-
Aziz Dougaz,675,672,21,TUN4,33,2,-,Tallahassee R32,Lost in Little Rock R32,-,-
Ilya Vasilyev,676,525,21.8,RUS29,33,2,-,-,Lost in Shymkent 2 R32Lost in Shymkent 3 R16,-,-
Christoph Negritu,677,632,24,GER39,33,10,1,-,Lost in Djerba 8 QFLost in Djerba 9 R32,-,-
Ruan Roelofse,678,357,28.4,RSA4,32,-30,-5,-,-,-,-
Marcus Willis,679,322,27.5,GBR15,32,1,-,-,Lost in Qual. Leon R2,-,-
Or Ram Harel,680,679,23.2,ISR7,32,1,-,-,-,-,-
Richard Gabb,681,410,26.1,GBR16,32,2,-,-,-,-,-
Florian Lakat,682,680,22.7,FRA65,32,-,-,-,Lost in Little Rock R32,-,-
Marat Deviatiarov,683,538,24,UKR10,32,9,1,-,Lost in Sharm El Sheikh 13 R16Lost in Sharm El Sheikh 14 SF,-,-
Yuya Kibi,684,224,31.7,JPN23,32,-,-,-,Lost in Matsuyama R32,-,-
Maxime Pauwels,685,683,19.7,BEL20,32,-,-,-,Lost in Djerba 8 R32Lost in Djerba 9 QF,-,-
Jakob Sude,686,CH,26.8,GER40,32,2,-,-,-,-,-
Jaume Pla Malfeito,687,504,22.8,ESP46,32,-8,-1,Qual. Majadahonda R3,Lost in Qual. Porto R2Lost in Qual. Madrid R3,-,-
Tim van Rijthoven,688,296,20.9,NED11,31,1,-,-,-,-,-
André Gaspar Murta,689,480,23.7,POR10,31,1,-,-,-,-,-
Matteo Martineau,690,687,19.2,FRA66,31,1,-,Angers R32,-,-,-
Dominik Böhler,691,648,22.1,GER41,31,2,-,-,-,-,-
Riccardo Balzerani,692,678,19.4,ITA49,31,15,1,Santa Margherita 8 R32,Lost in Santa Margherita 6 R16,-,-
Peter Heller,693,415,25.6,GER42,31,1,-,-,Qual. Antalya 15 WLost in Antalya 15 R16,-,-
Paul Woerner,694,651,21.6,GER43,31,-8,-1,-,Lost in Antalya 15 SF,-,-
Gibril Diarra,695,594,27.9,AUT15,31,2,-,-,Qual. Santa Margherita 6 WLost in Santa Margherita 6 R32Qual. Santa Margherita 7 WLost in Santa Margherita 7 R32,-,-
Michiel De Krom,696,689,19.8,NED12,31,2,-,Majadahonda R32,Qual. Madrid WLost in Madrid R32,-,-
Wilson Leite,697,341,26.4,BRA18,31,-43,-6,Sao Jose do Rio Preto R32,Lost in Qual. Santa Margherita 7 R3,-,-
Petros Chrysochos,698,469,22,CYP2,30,1,-,-,-,-,-
Fabiano De Paula,699,208,29.3,BRA19,30,1,-,-,-,-,-
Oliver Golding,700,327,24.5,GBR17,30,1,-,-,-,-,-
Mikael Torpegaard,701,310,23.9,DEN2,30,1,-,-,-,-,-
Martin Redlicki,702,NCH   (703),22.6,USA54,30,1,-,-,-,-,-
Iván Endara,703,367,30.1,ECU4,30,1,-,-,Lost in Qual. Leon R1,-,-
Michał Dembek,704,657,20.7,POL6,30,9,1,-,Lost in Shymkent 2 R16Lost in Shymkent 3 R32,-,-
Albert Alcaraz Ivorra,705,377,22.9,ESP47,30,3,-,-,-,-,-
David Jorda Sanchis,706,684,23.8,ESP48,30,3,-,-,-,-,-
Geronimo Espin Busleiman,707,NCH   (711),20.3,ARG33,29,4,-,Santa Margherita 8 R32,Lost in Qual. Santa Margherita 6 R3Lost in Qual. Santa Margherita 7 R3,-,-
Miliaan Niesten,708,431,29.8,NED13,29,10,1,Majadahonda R32,Qual. Porto WLost in Porto R16Lost in Cascais SF,-,-
Jeremy Beale,709,678,23.5,AUS33,29,3,-,-,-,-,-
Roman Khassanov,710,688,21.6,KAZ6,29,-5,-1,Shymkent 4 R32,Lost in Shymkent 2 R32Lost in Shymkent 3 R32,-,-
Alexios Halebian,711,537,23.8,USA55,29,-5,-1,-,-,-,-
Alexander Erler,712,NCH   (713),20.4,AUT16,29,2,-,-,-,-,-
Kirill Kivattsev,713,NCH   (714),20.5,RUS30,29,2,-,-,-,-,-
Walter Trusendi,714,299,33.3,ITA50,29,-19,-2,Santa Margherita 8 R32,-,-,-
Franco Emanuel Egea,715,611,22.3,ARG34,29,-19,-2,Angers R32,Lost in Djerba 8 R32,-,-
Erik Crepaldi,716,282,27.9,ITA51,29,-6,-1,-,Lost in Qual. Sarasota R2Lost in Qual. Tallahassee R2,-,-
Issam Haitham Taweel,717,635,28.7,EGY4,29,-1,-,-,Lost in Qual. Sharm El Sheikh 13 R3Lost in Sharm El Sheikh 14 R16,-,-
Alejandro Gómez,718,352,26.6,COL7,28,-1,-,Qual. Leon R3,Lost in Qual. Guadalajara R2,-,-
Petr Nouza,719,709,19.6,CZE18,28,-,-,-,-,-,-
Raphael Baltensperger,720,676,20.3,SUI8,28,-,-,-,-,-,-
Pavel Nejedly,721,604,25.1,CZE19,28,-,-,-,Lost in Antalya 15 SF,-,-
Maxime Tchoutakian,722,666,24.3,FRA67,28,-,-,-,Lost in Djerba 8 R32,-,-
Duje Kekez,723,422,25,CRO11,28,-,-,-,-,-,-
Marek Gengel,724,600,22.5,CZE20,28,11,1,-,Lost in Sharm El Sheikh 13 R16Lost in Qual. Francavilla R1,-,-
Danny Thomas,725,724,18.4,USA56,27,-1,-,Tallahassee R32,Lost in Qual. Sarasota R2,-,-
Tom Fawcett,726,725,22.5,USA57,27,-1,-,-,-,-,-
Adam Chadaj,727,202,33.9,POL7,27,-1,-,-,-,-,-
Artur Shakhnubaryan,728,711,21.6,RUS31,27,-1,-,-,Lost in Bukhara R32,-,-
Cheng Yu Yu,729,531,23,TPE8,27,-,-,-,-,-,-
Mauricio Echazú,730,379,29.2,PER2,27,-,-,-,Lost in Qual. Leon R1,-,-
Alexandar Lazarov,731,541,20.4,BUL4,27,-,-,-,-,-,-
Jordan Correia,732,731,20.7,BRA20,27,9,1,-,Qual. Antalya 14 WLost in Antalya 14 R16Qual. Madrid WLost in Madrid R32,-,-
Fred Simonsson,733,633,23.4,SWE7,27,-1,-,-,-,-,-
Giovanni Fonio,734,733,19.9,ITA52,27,-1,-,Santa Margherita 8 R32,Lost in Santa Margherita 7 R32,-,-
Bernardo Saraiva,735,694,24.7,POR11,27,-1,-,-,Lost in Porto R32Lost in Cascais R32,-,-
Ryota Tanuma,736,726,22.5,JPN24,27,11,1,-,Lost in Matsuyama R16,-,-
Mikhail Korovin,737,724,22.1,RUS32,27,-1,-,-,Qual. Madrid WLost in Madrid R16,-,-
Dekel Bar,738,593,25.1,ISR8,26,-,-,-,-,-,-
Pruchya Isaro,739,692,22.5,THA2,26,-,-,-,-,-,-
Camilo Ugo Carabelli,740,CH,18.8,ARG35,26,-,-,Sao Jose do Rio Preto R32,-,-,-
Markos Kalovelonis,741,445,23.9,RUS33,26,2,-,-,Lost in Shymkent 3 R16,-,-
Aryan Goveas,742,679,19.7,IND13,26,2,-,Abuja 2 R32,Lost in Abuja R16,-,-
Sébastien Boltz,743,276,25,FRA68,26,2,-,-,La Grande Motte W,-,-
Jaime Pulgar Garcia,744,296,29,ESP49,26,21,2,-,Lost in Djerba 8 QF,-,-
Jacopo Stefanini,745,598,22,ITA53,26,1,-,Qual. Antalya 16 R3,Lost in Antalya 15 R32,-,-
Christian Hirschmüller,746,671,25.1,GER44,26,2,-,-,Lost in Sharm El Sheikh 13 R16Lost in Sharm El Sheikh 14 R32,-,-
Andre Begemann,747,166,33.7,GER45,25,2,-,-,-,-,-
Stephan Fransen,748,744,29.7,NED14,25,2,-,-,-,-,-
Tae Woo Lee,749,746,26.3,KOR9,25,2,-,-,-,-,-
Luca Giacomini,750,NCH   (752),20.4,ITA54,25,2,-,-,Lost in La Grande Motte R16,-,-
Nerman Fatić,751,587,23.4,BIH5,25,-9,-1,-,Qual. Antalya 15 WLost in Antalya 15 R16,-,-
Santiago Fa Rodriguez Taverna,752,707,18.7,ARG36,25,2,-,-,Lost in Qual. Little Rock R1Lost in Orange Park QF,-,-
Denis Matsukevich,753,234,32,RUS34,25,4,-,-,-,-,-
Takuto Niki,754,278,30.5,JPN25,25,-1,-,-,Lost in Matsuyama R32,-,-
Nicolas Santos,755,457,30.2,BRA21,25,-,-,Sao Jose do Rio Preto R32,-,-,-
Domagoj Biljesko,756,751,20.8,CRO12,25,-,-,-,Lost in Djerba 9 R32,-,-
Fran Zvonimir Zgombic,757,NCH   (759),22.2,CRO13,25,2,-,-,Lost in La Grande Motte R16,-,-
Hugo Voljacques,758,719,25.3,FRA69,25,18,2,-,Lost in Djerba 8 QFLost in Djerba 9 R32,-,-
Bogdan Bobrov,759,NCH   (767),20.5,RUS35,25,8,1,Shymkent 4 R32,Lost in Shymkent 2 R16Lost in Shymkent 3 QF,-,-
Carlos Salamanca,760,137,35.2,COL8,24,1,-,-,-,-,-
Vitaly Kozyukov,761,536,23.8,RUS36,24,-24,-2,-,-,-,-
Marvin Netuschil,762,306,26.8,GER46,24,-,-,-,-,-,-
Dan Added,763,NCH   (772),19,FRA70,24,9,1,-,Lost in Djerba 8 R16Lost in Djerba 9 R16,-,-
Neil Pauffley,764,406,28,GBR18,24,-,-,-,Lost in Djerba 9 R16,-,-
Jumpei Yamasaki,765,577,20.8,JPN26,24,28,3,-,Lost in Matsuyama QF,-,-
Gabriel Petit,766,758,22.6,FRA71,24,-8,-1,Angers R32,-,-,-
Bogdan Ionut Apostol,767,NCH   (795),22.2,ROU6,24,28,3,-,Qual. Santa Margherita 6 WLost in Santa Margherita 6 QF,-,-
Pavel Krainik,768,624,25.5,CAN11,24,-2,-,-,Lost in Qual. Leon R1,-,-
Antoine Bellier,769,503,21.5,SUI9,24,-9,-1,-,Qual. Santa Margherita 7 WLost in Santa Margherita 7 R16,-,-
Timur Kiyamov,770,NCH   (775),21.4,RUS37,24,5,1,Qual. Antalya 16 R3,Qual. Antalya 14 WLost in Antalya 14 R16Lost in Qual. Antalya 15 R1,-,-
Marcel Felder,771,227,33.7,URU3,23,-3,-,-,-,-,-
James Ward,772,89,31.1,GBR19,23,26,3,Qual. Leon R3,Qual. Guadalajara WLost in Guadalajara R32,-,-
Arthur Rinderknech,773,769,22.7,FRA72,23,-4,-,-,-,-,-
Min Kyu Song,774,591,27.6,KOR10,23,14,2,-,Lost in Shymkent 2 QFLost in Shymkent 3 R16,-,-
Harrison Adams,775,NCH   (882),23.9,USA58,23,107,8,-,Lost in Little Rock SF,-,-
Juan Sebastián Gómez,776,469,26.1,COL9,23,-6,-,-,-,-,-
Julien Dubail,777,371,30.1,BEL21,23,-6,-,-,-,-,-
Evan Zhu,778,770,19.6,USA59,23,-5,-,-,-,-,-
Anıl Yüksel,779,492,27.9,TUR4,23,-16,-1,-,-,-,-
Julian Ocleppo,780,590,20.7,ITA55,23,-6,-,-,Lost in Qual. Tunis R1Lost in Qual. Francavilla R1,-,-
Nicolo Turchetti,781,766,21.8,ITA56,23,-4,-,-,-,-,-
Jakub Paul,782,778,19,SUI10,22,-4,-,Abuja 2 R32,Lost in Abuja R32,-,-
Timur Khabibulin,783,753,22.7,KAZ7,22,-4,-,Qual. Shymkent 4 R3,Lost in Shymkent 2 R32Lost in Shymkent 3 R32,-,-
Juan Lizariturry,784,304,27,ESP50,22,-4,-,-,-,-,-
Benjamin Sigouin,785,781,18.8,CAN12,22,-4,-,-,-,-,-
Sami Reinwein,786,488,25.8,GER47,22,-4,-,-,Lost in La Grande Motte R32,-,-
Guy Den Heijer,787,783,21,NED15,22,-4,-,-,-,-,-
Matej Sabanov,788,640,25.8,CRO14,22,-4,-,Abuja 2 R32,Lost in Abuja R32,-,-
Jaime Fermosell Delgado,789,740,20.3,ESP51,22,-4,-,-,-,-,-
Omar Salman,790,488,22,BEL22,22,-4,-,-,Lost in Qual. Porto R2Qual. Madrid WLost in Madrid R32,-,-
Maciej Smoła,791,22,25,POL741,22,5,8,-,Qual. Santa Margherita 6 WLost in Santa Margherita 6 R16Qual. Santa Margherita 7 WLost in Santa Margherita 7 QFQual. Santa Margherita 8 W,-,-
Gonzalo Villanueva,792,519,23.2,ARG37,21,-3,-,Sao Jose do Rio Preto R32,-,-,-
Cameron Silverman,793,733,25.9,USA60,21,-3,-,-,-,-,-
Luke Johnson,794,NCH   (810),24,GBR20,21,16,1,-,Lost in Djerba 8 R16Lost in Djerba 9 SF,-,-
Ken Onishi,795,684,22.1,JPN27,21,-3,-,-,-,-,-
Sem Verbeek,796,789,24,NED16,21,-2,-,-,-,-,-
Volodoymyr Uzhylovskyi,797,492,30,UKR11,21,-,-,-,Lost in Qual. Francavilla R1,-,-
Antal Van Der Duim,798,214,30.5,NED17,20,-11,-1,-,-,-,-
Felipe Martinez Sarrasague,799,CH,21,ARG38,20,-,-,-,-,-,-
Jorge Montero,800,654,27.5,CHI6,20,-,-,-,-,-,-
Zihao Xia,801,714,21.2,CHN11,20,-,-,-,Lost in Nanchang R32,-,-
Manish Sureshkumar,802,NCH   (804),18.6,IND14,20,2,-,-,-,-,-
Sebastian Prechtel,803,791,21.9,GER48,20,-1,-,Qual. Antalya 16 R3,Qual. Porto WLost in Porto R32Qual. Cascais WLost in Cascais R32,-,-
Bogdan Borza,804,707,21,ROU7,20,1,-,-,-,-,-
Luis Patiño,805,649,24.5,MEX2,20,-2,-,Leon R32,Lost in Guadalajara R32,-,-
Hunter Callahan,806,696,25.3,USA61,20,-,-,-,-,-,-
Patrik Brydolf,807,523,26.4,SWE8,20,-,-,-,-,-,-
Dominik Kellovsky,808,468,21.7,CZE21,20,1,-,-,Lost in Qual. Sharm El Sheikh 13 R3Lost in Qual. Francavilla R2,-,-
Daniel Appelgren,809,695,21.9,SWE9,20,2,-,-,Lost in Djerba 8 R32Lost in Djerba 9 R16,-,-
Marcelo Zormann,810,467,21.8,BRA22,20,3,-,Sao Jose do Rio Preto R32,-,-,-
Nicolas Alberto Arreche,811,587,23.6,ARG39,20,1,-,Sao Jose do Rio Preto R32,-,-,-
Milan Drinic,812,650,20.5,SRB15,20,33,2,-,Qual. Antalya 14 WLost in Antalya 14 QFLost in Qual. Antalya 15 R3,-,-
Peter Goldsteiner,813,738,27.7,AUT17,20,1,-,-,Lost in Sharm El Sheikh 13 R32Lost in Sharm El Sheikh 14 R16,-,-
Alon Elia,814,NCH   (815),22.8,ISR9,20,1,-,-,-,-,-
Tristan Méraut,815,813,22.3,FRA73,19,1,-,-,-,-,-
Shinji Hazawa,816,NCH   (817),19,JPN28,19,1,-,-,Lost in Qual. Matsuyama R2,-,-
Michael Redlicki,817,NCH   (860),24.4,USA62,19,43,3,-,Qual. Little Rock WLost in Little Rock QF,-,-
Nik Razboršek,818,521,24.5,SLO4,19,-,-,Qual. Antalya 16 R3,Lost in Qual. Antalya 15 R3,-,-
Wilfredo González,819,NCH   (820),25.2,GUA2,19,1,-,-,Lost in Qual. Leon R1,-,-
Gábor Borsos,820,723,26.8,HUN6,19,1,-,-,-,-,-
Ricardo Hocevar,821,149,32.9,BRA23,19,2,-,-,-,-,-
Alejandro Tabilo,822,587,20.8,CHI7,19,-14,-1,-,Lost in Orange Park QF,-,-
Eduardo Agustin Torre,823,596,23.5,ARG40,19,-1,-,-,Lost in Orange Park QF,-,-
Lucas Gómez,824,463,22.6,MEX3,19,1,-,-,Lost in Qual. Guadalajara R2Lost in Qual. Leon R1,-,-
Ricardo Rodriguez Pace,825,282,24.9,VEN1,19,1,-,-,Lost in Orange Park QF,-,-
Igor Marcondes,826,704,20.8,BRA24,19,-35,-2,Sao Jose do Rio Preto R32,Lost in Sharm El Sheikh 13 R32,-,-
Peter Bothwell,827,641,22.5,IRL3,19,1,-,-,Lost in Djerba 9 R16,-,-
Sergio Martos Gornes,828,726,23.5,ESP52,19,1,-,-,Lost in Qual. Majadahonda R2,-,-
Stefan Seifert,829,228,33.1,GER49,18,1,-,-,-,-,-
Mikhail Elgin,830,123,36.5,RUS38,18,1,-,-,-,-,-
Nicolas Alvarez,831,NCH   (832),21.8,PER3,18,1,-,-,-,-,-
Wil Spencer,832,478,28.6,USA63,18,1,-,-,-,-,-
Luca Margaroli,833,692,26.1,SUI11,18,1,-,-,Lost in Bukhara R16,-,-
Petru Alexandru Luncanu,834,304,28.9,ROU8,18,1,-,-,-,-,-
Haadin Salim Bava,835,668,23.3,IND15,18,-16,-1,-,-,-,-
Adrian Obert,836,822,23,GER50,18,-,-,-,-,-,-
Kevin Griekspoor,837,655,27.2,NED18,18,-,-,-,-,-,-
Claudio Fortuna,838,384,28,ITA57,18,1,-,-,Lost in Djerba 8 R32,-,-
Pierre Faivre,839,813,22.1,FRA74,18,1,-,Qual. Angers R3,Lost in La Grande Motte R32,-,-
Michael Vrbensky,840,NCH   (874),18.3,CZE22,18,34,2,-,Lost in Djerba 8 QF,-,-
Adam El Mihdawy,841,281,28.7,USA64,18,-,-,-,Lost in Orange Park R16,-,-
Denis Klok,842,NCH   (846),19.9,RUS39,18,11,1,Shymkent 4 R32,Lost in Shymkent 2 R16Lost in Shymkent 3 R32,-,-
Yurii Dzhavakian,843,704,24.9,UKR12,18,1,-,-,-,-,-
Tiago Cacao,844,NCH   (852),20.1,POR12,18,8,1,-,Lost in Porto R16Lost in Cascais F,-,-
Raleigh Smith,845,716,26.5,USA65,18,-2,-,-,Lost in Orange Park R32,-,-
Jürgen Melzer,846,8,36.9,AUT18,17,-265,-33,-,Lost in Qual. Barcelona R2,-,-
Matthew Barton,847,183,26.3,AUS34,17,-,-,-,-,-,-
Julian Onken,848,693,29.8,GER51,17,-10,-1,-,-,-,-
Kenneth Raisma,849,676,20,EST3,17,1,-,-,-,-,-
Junior Alexander Ore,850,NCH   (851),25.6,USA66,17,1,-,-,Lost in Orange Park R32,-,-
Matej Vocel,851,802,20.9,CZE23,17,22,1,-,Qual. Djerba 8 WLost in Djerba 8 R16,-,-
Soichiro Moritani,852,725,23.6,JPN29,17,-28,-2,-,Lost in Matsuyama R32,-,-
Maxim Ratniuk,853,789,21.9,RUS40,17,-26,-2,-,Qual. Antalya 14 WLost in Antalya 14 R32Lost in Qual. Antalya 15 R3,-,-
Oleksandr Bielinskyi,854,665,23.9,UKR13,17,-12,-1,Shymkent 4 R32,Lost in Shymkent 2 R32Lost in Shymkent 3 R32,-,-
Luca Gelhardt,855,848,23.3,GER52,17,-1,-,-,-,-,-
Oleg Prihodko,856,855,20.5,UKR14,17,-1,-,Qual. Majadahonda R3,Lost in Qual. Madrid R2,-,-
Daniil Zarichanskyy,857,839,20.3,UKR15,17,-11,-1,-,Lost in Sharm El Sheikh 13 R32,-,-
Emil Reinberg,858,836,21,USA67,16,-1,-,-,-,-,-
Ryan Haviland,859,516,37.3,USA68,16,-,-,-,-,-,-
Jack Findel Hawkins,860,858,23.5,GBR21,16,-2,-,-,Lost in Little Rock R32Lost in Orange Park R16,-,-
Finn Tearney,861,356,27.5,NZL2,16,-13,-1,-,-,-,-
David Souto,862,208,26,VEN2,16,-1,-,-,-,-,-
Sebastian Korda,863,842,17.7,USA69,16,-1,-,-,Lost in Sarasota R32Lost in Qual. Tallahassee R2,-,-
Jeffrey Schorsch,864,863,23.1,USA70,16,-1,-,-,-,-,-
Skander Mansouri,865,864,22.7,TUN5,16,-1,-,-,-,-,-
Finn Bass,866,865,18.5,GBR22,16,-1,-,-,Lost in Djerba 9 QF,-,-
Sergey Betov,867,340,30.5,BLR6,16,-1,-,-,Qual. Bukhara WLost in Bukhara R16,-,-
Rrezart Cungu,868,810,19.7,MNE2,16,-1,-,-,-,-,-
Simon Carr,869,868,18.4,IRL4,16,-1,-,-,Lost in La Grande Motte R32,-,-
Jorge Panta,870,512,22.7,PER4,16,-1,-,-,Lost in Qual. Leon R1,-,-
Karl Friberg,871,870,19,SWE10,16,-1,-,-,Lost in Qual. Antalya 14 R2Qual. Antalya 15 WLost in Antalya 15 R16,-,-
Dmitry Mnushkin,872,871,21.9,RUS41,16,-1,-,-,Lost in Bukhara R32,-,-
Rigele Te,873,629,20.5,CHN12,16,-1,-,-,Lost in Matsuyama R32,-,-
Thomas Setodji,874,820,22.5,FRA75,16,1,-,Abuja 2 R32,Lost in Abuja R32,-,-
Issei Okamura,875,574,25.9,JPN30,16,1,-,-,Qual. Matsuyama WLost in Matsuyama R32,-,-
Sarp Ağabigün,876,831,20.8,TUR5,16,1,-,-,Lost in Antalya 15 R32,-,-
Francisco Cabral,877,862,21.2,POR13,16,1,-,-,Lost in Porto R32Qual. Cascais WLost in Cascais R32,-,-
Oleg Khotkov,878,781,28.1,UKR16,16,-22,-1,-,Qual. Sharm El Sheikh 13 WLost in Sharm El Sheikh 13 R32Lost in Sharm El Sheikh 14 R32,-,-
Andrey Golubev,879,33,30.7,KAZ8,15,1,-,-,-,-,-
Seong Gook Oh,880,NCH   (881),26,KOR11,15,1,-,-,-,-,-
André Miele,881,229,31,BRA25,15,2,-,Sao Jose do Rio Preto R32,-,-,-
Ergi Kirkin,882,NCH   (884),19.2,TUR6,15,2,-,-,Lost in Antalya 15 R32,-,-
Fernando Romboli,883,236,29.2,BRA26,15,2,-,-,-,-,-
Ryan Peniston,884,NCH   (886),22.4,GBR23,15,2,-,-,-,-,-
Yuichi Ito,885,325,31.7,JPN31,15,2,-,-,Lost in Qual. Matsuyama R3,-,-
Simone Roncalli,886,NCH   (888),21.9,ITA58,15,2,-,-,-,-,-
Vadym Ursu,887,605,21.3,UKR17,15,2,-,-,Lost in Bukhara R16,-,-
Filip Duda,888,NCH   (890),19.5,CZE24,15,2,-,-,Lost in Djerba 8 R32Lost in Djerba 9 R16,-,-
Vladimir Polyakov,889,791,23.8,RUS42,15,4,-,-,Lost in Shymkent 2 R32Qual. Bukhara WLost in Bukhara R32,-,-
