name,position,rank,team,salary
De'Aaron Fox,PG,208,Sacramento Kings,4609200
Marcus Smart,PG,209,Boston Celtics,4538020
Kristaps Porzingis,PF,210,New York Knicks,4503600
Dragan Bender,PF,211,Phoenix Suns,4468800
Devin Harris,PG,212,Denver Nuggets,4402546
Greivis Vasquez,PG,213,Brooklyn Nets,4347826
Ron Baker,SG,214,New York Knicks,4328000
Aron Baynes,C,215,Boston Celtics,4328000
Alex Len,C,216,Phoenix Suns,4187599
Nerlens Noel,C,217,Dallas Mavericks,4187599
Jonathan Isaac,PF,218,Orlando Magic,4186320
Lance Stephenson,SG,219,Indiana Pacers,4180000
Julius Randle,PF,220,Los Angeles Lakers,4149242
Kyle O'Quinn,C,221,New York Knicks,4087500
Kris Dunn,PG,222,Chicago Bulls,4046760
Leandro Barbosa,SG,223,Phoenix Suns,4000000
Jonas Jerebko,PF,224,Utah Jazz,4000000
Jordan Hill,C,225,Minnesota Timberwolves,4000000
Nemanja Bjelica,PF,226,Minnesota Timberwolves,3949999
Mario Hezonja,SF,227,Orlando Magic,3909840
J.J. Barea,PG,228,Dallas Mavericks,3903900
Quincy Pondexter,SG,229,Chicago Bulls,3853931
Lauri Markkanen,PF,230,Chicago Bulls,3821640
Nik Stauskas,SG,231,Philadelphia 76ers,3807147
Willie Cauley-Stein,C,232,Sacramento Kings,3704160
Buddy Hield,SG,233,Sacramento Kings,3675480
Drew Gooden,PF,234,Washington Wizards,3547000
Will Barton,SF,235,Denver Nuggets,3533333
Paul Pierce,SF,236,LA Clippers,3527920
Noah Vonleh,PF,237,Portland Trail Blazers,3505233
Frank Ntilikina,PG,238,New York Knicks,3501120
Mike Miller,SG,239,Denver Nuggets,3500000
Nene Hilario,C,240,Houston Rockets,3477600
Zaza Pachulia,C,241,Golden State Warriors,3477600
Troy Daniels,SG,242,Phoenix Suns,3408520
Emmanuel Mudiay,PG,243,New York Knicks,3381480
Jamal Murray,PG,244,Denver Nuggets,3355320
Elfrid Payton,PG,245,Phoenix Suns,3332340
Rajon Rondo,PG,246,New Orleans Pelicans,3300000
Doug McDermott,SF,247,New York Knicks,3294994
Tyreke Evans,SG,248,Memphis Grizzlies,3290000
Tarik Black,PF,249,Houston Rockets,3290000
Anthony Tolliver,PF,250,Detroit Pistons,3290000
Dennis Smith Jr.,PG,251,Dallas Mavericks,3218280
Zach LaVine,PG,252,Chicago Bulls,3202218
Ekpe Udoh,C,253,Utah Jazz,3200000
TJ Warren,SF,254,Phoenix Suns,3152931
Stanley Johnson,SF,255,Detroit Pistons,3097800
Marquese Chriss,PF,256,Phoenix Suns,3073800
Zach Collins,C,257,Portland Trail Blazers,3057240
James Ennis III,SF,258,Memphis Grizzlies,3028410
Seth Curry,SG,259,Dallas Mavericks,3028410
Mindaugas Kuzminskas,F,260,New York Knicks,3025035
Tomas Satoransky,SG,261,Washington Wizards,3000000
Justin Hamilton,C,262,Toronto Raptors,3000000
Tibor Pleiss,C,263,Philadelphia 76ers,3000000
Lucas Nogueira,C,264,Toronto Raptors,2947305
Jusuf Nurkic,C,265,Portland Trail Blazers,2947305
Malik Monk,SG,266,Charlotte Hornets,2904480
Frank Kaminsky,PF,267,Charlotte Hornets,2847600
Jakob Poeltl,C,268,Toronto Raptors,2825640
