name,rank,position,team,salary_2017
Andrew Sendejo,249,DB,MIN,2950000
Andre Branch,250,DE,MIA,2900000
C.J. Anderson,251,RB,DEN,2900000
Steve McLendon,252,DT,NYJ,2875000
Colt McCoy,253,QB,WAS,2800000
Brett Kern,255,P,TEN,2800000
Virgil Green,256,TE,DEN,2800000
Domata Peko,257,DT,DEN,2800000
Kevin Huber,254,P,CIN,2800000
Justin Tucker,258,K,BAL,2800000
Luke Joeckel,266,OT,SEA,2750000
Reggie Nelson,263,DB,OAK,2750000
Jonathan Casillas,259,LB,NYG,2750000
William Hayes,260,DE,MIA,2750000
Kayvon Webster,265,CB,LAR,2750000
Adam Vinatieri,262,K,IND,2750000
Chris Clark,264,T,HOU,2750000
Corey Peters,261,DT,ARI,2750000
Trey Burton,271,TE,PHI,2746000
Wesley Johnson,270,OT,NYJ,2746000
Adam Thielen,276,WR,MIN,2746000
Todd Davis,268,LB,DEN,2746000
Brandon McManus,272,K,DEN,2746000
Isaiah Crowell,273,RB,CLE,2746000
Andrew Norwell,274,G,CAR,2746000
Taylor Gabriel,275,WR,ATL,2746000
Marcus Williams,267,CB,2TM,2746000
Dontrelle Inman,269,WR,2TM,2746000
Stephen Gostkowski,277,K,NWE,2700000
Travis Kelce,278,TE,KAN,2700000
Ramon Foster,279,T,PIT,2675000
Dante Fowler,280,OLB,JAX,2570478
Dre Kirkpatrick,281,CB,CIN,2550000
Drew Stanton,282,QB,ARI,2550000
Cordarrelle Patterson,285,WR,OAK,2500000
Jared Cook,290,TE,OAK,2500000
Morris Claiborne,283,CB,NYJ,2500000
Chris Hogan,284,WR,NWE,2500000
Patrick Chung,291,DB,NWE,2500000
Dwayne Allen,294,TE,NWE,2500000
Jarius Wright,288,WR,MIN,2500000
Abry Jones,296,DT,JAX,2500000
Jabaal Sheard,287,DL,IND,2500000
Brandon Marshall,289,OLB,DEN,2500000
Ronald Leary,292,G,DEN,2500000
Donald Stephenson,293,T,DEN,2500000
Jamar Taylor,295,CB,CLE,2500000
Quintin Demps,286,DB,CHI,2500000
Dwayne Harris,297,WR,NYG,2475000
Zane Beadles,298,T,SFO,2450000
Emmanuel Lamur,299,LB,MIN,2450000
Johnny Hekker,300,P,LAR,2444444
Ryan Succop,301,K,TEN,2400000
Da'Norris Searcy,303,DB,TEN,2400000
Marquette King,302,P,OAK,2400000
Terence Newman,304,DB,MIN,2400000
Tom Johnson,307,DT,MIN,2300000
Micah Hyde,306,CB,BUF,2300000
Sam Koch,305,P,BAL,2300000
Brian Cushing,308,LB,HOU,2264706
Terrell McClain,310,DL,WAS,2250000
Stacy McGee,316,DT,WAS,2250000
Elvis Dumervil,313,DE,SFO,2250000
