name,rank,move,country,age,points,tournaments
Ann Li,450,▽2,USA,17,76,12
Serena Williams,451,▽2,USA,36,75,9
Eleonora Molinaro,452,▽2,LUX,17,75,11
Leonie Kung,453,▽2,SUI,17,75,16
Alexandra Bozovic,454,▽1,AUS,19,75,13
Priscilla Heise,455,▽1,FRA,27,75,18
Lucrezia Stefanini,456,▽16,ITA,19,75,19
Laura Schaeder,457,▽2,GER,24,75,22
Maia Lumsden,458,▽2,GBR,20,74,18
Zhaoxuan Yang,459,▽44,CHN,23,74,8
Ashley Lahey,460,▽2,USA,18,73,6
Hanna Chang,461,▽2,USA,20,73,18
Oana Georgeta Simion,462,▽2,ROU,22,73,17
Nathaly Kurata,463,▽2,BRA,25,73,19
Marina Bassols Ribera,464,△23,ESP,18,72,17
Martina Colmegna,465,▽2,ITA,21,72,18
Anastasia Pribylova,466,▽2,RUS,22,72,20
Sunam Jeong,467,▽1,KOR,21,71,10
Pranjala Yadlapalli,468,▽1,IND,19,71,21
Clothilde De Bernardi,469,▽1,FRA,23,71,13
Rika Fujiwara,470,▽1,JPN,36,71,14
Miriam Bulgaru,471,▽1,ROU,19,71,17
Ao Gai,472,▽1,CHN,23,70,16
Nagi Hanatani,473,▽1,JPN,23,70,19
Michelle Larcher De Brito,474,▽51,POR,25,69,10
Na-Ri Kim,475,▽2,KOR,28,69,12
Julia Elbaba,476,▽2,USA,23,69,25
Laura Pigossi,477,▽2,BRA,23,69,20
Natela Dzalamidze,478,▽2,RUS,25,69,6
Elena Bovina,479,▽2,RUS,35,69,8
Simona Waltert,480,▽1,SUI,17,68,8
Berfu Cengiz,481,▽1,TUR,18,68,16
Tess Sugnaux,482,▽1,SUI,23,68,21
Bunyawi Thamchaiwat,483,▽1,THA,19,68,14
Irina Fetecau,484,▽1,ROU,22,68,15
Georgia Craciun,485,0,ROU,18,67,12
Alison Bai,486,0,AUS,28,67,20
Guiomar Maristany Zuleta De Reales,487,▽3,ESP,19,67,17
Julia Wachaczyk,488,0,GER,24,67,21
Whitney Osuigwe,489,0,USA,16,66,7
Anastasiya Komardina,490,0,RUS,20,66,16
Andrea Sestini Hlavackova,491,0,CZE,31,66,2
Qiu Yu Ye,492,0,CHN,20,66,16
Naomi Cheong,493,0,USA,15,66,6
Eleni Kordolaimi,494,△10,GRE,25,66,20
Karin Kennel,495,0,SUI,22,66,20
Eden Silva,496,△1,GBR,22,65,19
Jessica Moore,497,△1,AUS,27,65,13
Lidziya Marozava,498,△1,BLR,25,65,5
Ekaterina Kazionova,499,△1,RUS,19,65,15
Anastasia Detiuc,500,△17,CZE,19,65,17
Lena Rueffer,501,△17,GER,19,64,17
Maria Marfutina,502,0,RUS,20,64,16
Julia Terziyska,503,△49,BUL,22,63,12
Jacqueline Cabaj Awad,504,▽1,SWE,22,63,16
Laura Ioana Andrei,505,▽27,ROU,29,63,20
Barbara Gatica,506,▽1,CHI,21,63,20
Teliana Pereira,507,0,BRA,29,62,9
Ya-Hsuan Lee,508,▽88,TPE,22,62,12
Patcharin Cheapchandej,509,▽1,THA,23,62,12
Lauren Embree,510,▽1,USA,27,62,5
Magali Kempen,511,▽17,BEL,20,62,11
Sanaz Marand,512,▽50,USA,29,62,13
Romy Koelzer,513,▽3,GER,26,62,20
Tayisiya Morderger,514,▽3,GER,21,62,25
Varvara Flink,515,△41,RUS,21,61,8
Ylena In-Albon,516,▽4,SUI,19,61,17
