name,rank,move,country,age,points,tournaments
Jiaxue Zang,1112,▽1,CHN,19,6,6
Margarita Gasparyan,1116,▽1,RUS,23,5,3
Paige Mary Hourigan,1117,▽1,NZL,21,5,3
Yujin Ahn,1118,▽1,KOR,21,5,4
Laura Deigman,1118,▽1,GBR,24,5,4
Yeong Won Jeong,1120,▽1,KOR,22,5,5
Viktorija Rajicic,1121,▽1,AUS,24,5,3
Isabella Bozicevic,1121,▽1,AUS,16,5,3
Izabela Novac,1123,▽1,ROU,18,5,3
Catherine Harrison,1124,▽1,USA,24,5,4
Natasha Piludu,1124,▽1,ITA,22,5,4
Giovanna Tomita,1124,▽1,BRA,25,5,4
Beatrice Lombardo,1124,▽1,ITA,22,5,4
Mary Closs,1124,▽1,USA,22,5,4
Ksenija Sharifova,1124,▽21,RUS,21,5,4
Ena Kajevic,1124,▽1,CRO,21,5,4
Sofia Luini,1124,▽1,ARG,25,5,4
Monica Cappelletti,1124,△30,ITA,19,5,4
Valentine Bacher,1124,▽1,FRA,18,5,4
Justine Pysson,1124,▽1,BEL,17,5,4
Benedetta Ivaldi,1124,▽1,ITA,17,5,4
Anna Siskova,1124,▽1,CZE,16,5,4
Emma Navarro,1124,△30,USA,16,5,4
Karolina Kubanova,1124,▽1,CZE,16,5,4
Dagmar Dudlakova,1124,▽1,CZE,27,5,4
Karolina Novotna,1124,▽1,CZE,20,5,4
Mara Schmidt,1141,▽4,USA,26,5,5
Polina Merenkova,1141,▽4,UZB,22,5,5
Ana Filipa Santos,1141,△36,POR,22,5,5
Ella Taylor,1141,▽4,GBR,22,5,5
Kelly Williford,1141,▽4,DOM,23,5,5
Anna Makhorkina,1141,▽4,RUS,20,5,5
Andrina Peer,1141,▽4,SUI,19,5,5
Flavia Guimaraes Bueno,1141,▽4,BRA,25,5,5
Alycia Parks,1141,▽4,USA,17,5,5
Anastasia Kharitonova,1141,▽4,RUS,18,5,5
Franziska Kommer,1141,▽4,GER,18,5,5
Abigail Spears,1152,▽4,USA,36,4,4
Kaitlyn Christian,1153,▽4,USA,26,4,4
Joanna Carswell,1154,▽4,NZL,29,4,4
Ho Ching Wu,1154,▽4,HKG,26,4,4
Naoko Eto,1154,▽4,JPN,33,4,4
Arabela Fernandez Rabener,1157,▽3,GER,27,4,3
Elaine Genovese,1157,▽3,MLT,27,4,3
Manon Peral,1157,▽3,FRA,24,4,3
Emily Fanning,1157,▽3,NZL,22,4,3
Szabina Szlavikovics,1157,▽3,HUN,22,4,3
Yuriko Miyazaki,1157,▽3,JPN,22,4,3
Diana Demidova,1157,▽3,RUS,20,4,3
Valentina Abrile,1157,▽3,ARG,21,4,3
Maya Tahan,1157,▽3,ISR,19,4,3
Hulya Esen,1157,▽3,TUR,28,4,3
Yulia Sokolovskaya,1157,▽3,RUS,20,4,3
Maria Vazquez,1157,▽3,ARG,19,4,3
Camilla Abbate,1157,▽3,ITA,20,4,3
Wiktoria Kulik,1157,▽3,POL,18,4,3
Aneta Laboutkova,1157,▽3,CZE,17,4,3
Oleksandra Andrieieva,1157,▽3,UKR,17,4,3
Kamilla Rakhimova,1157,▽3,RUS,16,4,3
Kristina Sorokolet,1157,▽3,RUS,18,4,3
Mina Hodzic,1157,▽3,GER,15,4,3
Lucia Quiterio,1157,△8842,POR,18,4,3
Maria Fonte,1157,▽3,POR,16,4,3
Ioana Minca,1157,▽3,ROU,19,4,3
Tatiana Perebiynis,1179,▽2,UKR,35,4,4
Akari Inoue,1179,▽2,JPN,29,4,4
Tea Faber,1179,▽2,CRO,28,4,4
Haine Ogata,1179,▽2,JPN,24,4,4
Kerstin Peckl,1179,▽2,AUT,28,4,4
Akiho Kakuya,1179,▽2,JPN,23,4,4
Ari Matsumoto,1179,▽2,JPN,20,4,4
Veronica Napolitano,1179,▽2,ITA,22,4,4
Mathilde Devits,1179,▽2,BEL,21,4,4
Noelia Bouzo Zanotti,1179,▽2,ESP,18,4,4
Victoria Beccio,1179,▽2,ARG,20,4,4
Nicole Gadient,1179,▽2,SUI,19,4,4
Nermeen Shawky,1179,▽2,EGY,19,4,4
Joanna Zawadzka,1179,▽2,POL,21,4,4
Diana Mihail,1179,▽2,ROU,17,4,4
Emma Hurst,1179,▽2,GBR,21,4,4
Akiko Okuda,1179,▽42,USA,24,4,4
Reina Takahashi,1179,▽2,JPN,21,4,4
Ana Giraldi Requena,1179,▽2,ESP,18,4,4
Linda Puppendahl,1179,▽2,GER,18,4,4
Anna Laguza,1179,▽2,UKR,16,4,4
Lisa Mays,1179,▽2,AUS,17,4,4
Adrienn Nagy,1179,▽2,HUN,17,4,4
Ange Kajuru,1179,▽2,JPN,16,4,4
Betina Tokac,1179,▽2,TUR,15,4,4
Layne Sleeth,1204,▽1,CAN,16,3,3
Alicja Rosolska,1205,▽1,POL,32,3,3
Pamela Montez,1206,△8793,USA,27,3,3
Csilla Argyelan,1206,0,HUN,27,3,3
Ran Tian,1206,△8793,CHN,24,3,3
Brianna Morgan,1206,0,USA,24,3,3
Katherine Ip,1206,0,HKG,22,3,3
Lara Schmidt,1206,0,GER,18,3,3
Taysia Rogers,1206,0,USA,17,3,3
Camelia Hristea,1213,▽1,ROU,27,3,3
Melissa Morales,1213,▽1,GUA,27,3,3
Yolande Leacock,1213,▽1,TTO,27,3,3
Julia Kimmelmann,1213,▽1,GER,24,3,3
Jil Nora Engelmann,1213,▽1,GER,24,3,3
Francesca Fusinato,1213,▽1,ITA,23,3,3
Mihoki Miyahara,1213,▽1,JPN,22,3,3
Giulia Crescenzi,1213,▽1,ITA,22,3,3
Barbara Kotelesova,1213,▽1,SVK,21,3,3
Minami Shuto,1213,▽1,JPN,23,3,3
Sabina Machalova,1213,▽1,CZE,20,3,3
Yan Wang,1213,▽1,CHN,22,3,3
Alice Garcia,1213,▽1,BRA,24,3,3
Ina Kaufinger,1213,▽1,GER,24,3,3
Erika Drozd Pereira,1213,▽1,BRA,20,3,3
Muazzez Demirci,1213,▽1,TUR,19,3,3
Sabrina Rittberger,1213,▽1,GER,20,3,3
Ioana Gheorghita,1213,▽1,ROU,20,3,3
Juliana Valero,1213,▽1,COL,20,3,3
Katarzyna Wysoczanska,1213,▽1,POL,20,3,3
Doga Takunyaci,1213,▽1,TUR,18,3,3
Mouna Bouzgarrou,1213,▽1,TUN,18,3,3
Jane Wasserson,1213,▽1,USA,21,3,3
Svenja Ochsner,1213,▽1,SUI,18,3,3
Gyulnara Nazarova,1213,▽1,UKR,20,3,3
Candela Bugnon,1213,▽1,ARG,20,3,3
Basak Akbas,1213,▽1,TUR,18,3,3
Dalila Said,1213,▽1,ESP,17,3,3
Snehal Mane,1213,▽1,IND,19,3,3
Anne-Marie Medcalf,1213,▽1,AUS,20,3,3
Emmanouela Antonakis,1213,▽1,GRE,17,3,3
Olga Helmi,1213,▽1,DEN,18,3,3
Angeles Moreno Barranquero,1213,▽1,ESP,18,3,3
Yuka Hosoki,1213,▽1,JPN,18,3,3
Laylo Bahodyrova,1213,▽1,UZB,19,3,3
Jiakang Li,1213,▽1,CHN,19,3,3
Aleksandra Pitak,1213,▽1,GBR,16,3,3
Alexandra Staiculescu,1213,▽1,ROU,17,3,3
Shaline-Doreen Pipa,1213,▽1,GER,19,3,3
Loudmilla Bencheikh,1213,▽1,FRA,16,3,3
Barbora Matusova,1213,▽1,SVK,18,3,3
Eva Lys,1213,▽1,GER,16,3,3
Yasmina Karimjanova,1213,▽1,UZB,16,3,3
Yekaterina Dmitrichenko,1213,△8786,KAZ,16,3,3
Carole Monnet,1213,▽1,FRA,16,3,3
Katerina Krizova,1213,▽1,CZE,18,3,3
Chantal Sauvant,1213,▽1,GER,15,3,3
Viktoriya Petrenko,1213,▽1,UKR,16,3,3
Maria Petrovic,1213,▽1,SWE,16,3,3
Laura Ashley,1213,▽1,AUS,16,3,3
Zeynep Sonmez,1213,▽1,TUR,15,3,3
Mananchaya Sawangkaew,1213,▽1,THA,15,3,3
Nina Nikprelevic,1213,▽1,USA,16,3,3
Mihaela Djakovic,1213,▽1,SRB,16,3,3
Adithya Karunaratne,1213,▽1,SRI,16,3,3
Ryoko Ikeda,1213,△8786,JPN,15,3,3
Yuna Saito,1213,△8786,JPN,15,3,3
Barakat Quadre,1213,▽1,NGR,14,3,3
Federica Rossi,1213,▽1,ITA,16,3,3
Liz Chileno,1213,▽1,PAR,18,3,3
Anna Arkadianou,1213,▽1,GRE,16,3,3
Vania King,1274,▽3,USA,29,3,5
